cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      solids-vof,solids-x-velocity,solids-y-velocity,  air-x-velocity,  air-y-velocity,           dp-dx,           dp-dy,          udm-x,           udm-y
4042,0.475,0.585,0.005,0.4417855095,0.3035662838,-0.6559113377,0.3823491777,0.0164815276,-1676.714456,-11892.8776,938.0284006,8005.844578
4043,0.465,0.585,0.005,0.4643222433,0.2561875942,-0.6688168987,0.2887415438,-0.0552999979,-812.1919556,-12996.25294,438.7080555,8267.961649
4044,0.455,0.585,0.005,0.478825419,0.18496183,-0.7170488614,0.1889445112,-0.161381066,-107.3213441,-13021.00002,57.72904154,8054.41536
4045,0.445,0.585,0.005,0.4887299948,0.0984878754,-0.8030382966,0.057960399,-0.3077223329,1204.821303,-12217.43728,-612.503571,7485.85462
4046,0.435,0.585,0.005,0.4865226397,-0.0047054633,-0.9239242817,-0.1038831612,-0.4743588967,2846.707573,-10413.39818,-1452.436769,6583.791613
4047,0.425,0.585,0.005,0.4418213815,-0.1017975154,-1.074958465,-0.1892398895,-0.6769398688,1679.70083,-5119.336809,-924.6414206,4208.765884
4048,0.415,0.585,0.005,0.306308045,-0.0997728543,-1.264510297,-0.0255786261,-0.7639832489,-489.1458547,-855.7846791,337.8891625,2279.458515
4049,0.405,0.585,0.005,0.1108492046,-0.0987896099,-1.333183676,0.3140633614,-0.1457256833,-622.2559283,758.2518313,510.5451663,1468.442716
4050,0.395,0.585,0.005,0.0738765538,-0.1671037493,-1.234549537,0.4984459622,0.5743130714,-720.0804559,657.7333616,597.7712382,1624.651055
4051,0.495,0.585,0.005,0.3265225586,0.3283782753,-0.7235671393,0.6092649303,0.0867692849,-2519.607434,-4824.719444,1696.739654,4894.963573
4052,0.495,0.595,0.005,0.0303647253,0.0655476184,-1.130963518,0.5683940212,-0.4229137637,-25.13075513,2265.736089,121.8774312,171.6136075
4053,0.485,0.595,0.005,0.0745351239,0.0567282222,-1.030956297,0.4774671557,-0.4835197436,-199.7512089,2081.565282,257.9934877,335.6833762
4054,0.475,0.595,0.005,0.1385109261,0.0155540335,-1.046444955,0.3458268463,-0.464978636,-453.9658039,1569.197658,440.3726225,775.3040456
4055,0.465,0.595,0.005,0.1957813979,0.0327255107,-1.036374234,0.1852582146,-0.4763251652,-350.8207746,976.0644408,324.0262291,1189.715932
4056,0.455,0.595,0.005,0.223335947,0.0014460385,-1.050390322,0.0441707019,-0.5343682608,-91.57639881,756.8014507,108.9610689,1316.01541
4057,0.445,0.595,0.005,0.2226464487,-0.0632186636,-1.102654987,-0.0377944412,-0.6380099708,-47.10604649,974.7263112,62.71865695,1146.22626
4058,0.435,0.595,0.005,0.2106533143,-0.1254389473,-1.160776426,-0.0517372345,-0.7483549595,-189.186259,1300.110797,161.4915791,903.6776934
4059,0.425,0.595,0.005,0.1730013007,-0.1152658348,-1.224154128,0.0977844579,-0.7954157696,-435.4840162,1589.251987,354.8825989,714.158995
4060,0.415,0.595,0.005,0.090134199,-0.1759415341,-1.294159108,0.4270735502,-0.6314440281,-569.9053839,1839.867683,507.691876,557.954637
4061,0.405,0.595,0.005,0.0823049875,-0.238689952,-1.231982048,0.643080299,0.1604434807,-968.5278369,984.3746727,841.6143559,1329.014347
4062,0.395,0.595,0.005,0.081994678,-0.241113262,-1.198441128,0.6057780562,0.5388503155,-999.2044646,516.2367696,861.8588482,1767.995457
4063,0.595,0.595,0.005,0.0129360503,-1.373073071,3.660683474,-10.13154199,8.445857648,1901.014798,607.5285566,-2829.278422,1545.771318
4064,0.585,0.595,0.005,0.009842102,-1.185272562,3.138412897,-7.756512189,7.29232444,939.6832998,1093.630021,-1388.837524,877.933016
4065,0.575,0.595,0.005,0.0039381098,-1.052920695,2.742842622,-6.41046328,6.974072696,238.1955678,1590.250562,-415.7759595,328.3676641
4066,0.565,0.595,0.005,0.001061687,-1.134320212,2.757337858,-5.490619496,6.780978631,-84.99227847,1887.311337,-83.76397097,77.36753306
4067,0.555,0.595,0.005,0.0001309623,-0.6088108015,3.245994894,-4.373274297,5.887082958,-209.2016628,2263.744391,-7.764274325,5.447292098
4068,0.545,0.595,0.005,6.822339909E-005,0.0649259008,3.491727285,-2.894058032,3.947064769,-170.4264747,2288.406247,-2.550649887,0.3925017938
4069,0.535,0.595,0.005,0.0006035464,0.8316926384,2.821496487,-1.389045823,2.235994934,8.578395583,2251.278405,-14.92722412,-3.935588571
4070,0.525,0.595,0.005,8.374929101E-005,1.253027387,2.606332605,-0.2874261863,0.3814745445,108.9938248,2392.987863,-1.551610092,-2.240971283
4071,0.515,0.595,0.005,0.0013506439,1.86704648,1.850356509,0.3043680538,0.0083993271,165.3320341,2414.753379,-24.10925304,-28.41801042
4072,0.505,0.595,0.005,0.0062046082,0.1526634676,-1.160961842,0.5440448756,-0.3723456995,100.9028641,2383.84673,18.40941585,37.09415477
4073,0.505,0.405,0.005,0.0104552262,0.2440813142,-1.363497747,-1.174507203,1.178307807,152.0568286,1958.797879,-189.0407239,338.7203239
4074,0.495,0.405,0.005,0.0110026369,0.2344429157,-1.36001379,-0.9989043982,1.321235196,141.1178031,2002.434055,-174.3431322,379.0151737
4075,0.485,0.405,0.005,0.0152779659,0.238672788,-1.446710749,-0.873017439,0.9689005091,192.3317652,2028.651973,-209.3895554,454.9862499
4076,0.475,0.405,0.005,0.0178316827,0.2389824032,-1.499647276,-0.7957484952,0.521392281,207.3587916,2055.846933,-212.312708,414.6898309
4077,0.465,0.405,0.005,0.0176922968,0.2143433166,-1.501202424,-0.7336013704,0.3048119092,180.4886584,2091.445079,-183.6704378,349.9270028
4078,0.455,0.405,0.005,0.016150828,0.1781264708,-1.464918568,-0.6552542187,0.2458397093,133.3436818,2132.646505,-142.3881668,292.2934717
4079,0.515,0.405,0.005,0.0123538452,0.2580973411,-1.455389884,-1.340564099,0.6204917286,215.43585,1933.352261,-240.2088801,311.9141957
4080,0.515,0.415,0.005,0.0122234501,0.2965797996,-1.37516251,-1.158750198,0.8689874541,173.0164574,1907.794269,-218.4560161,336.8638465
4081,0.505,0.415,0.005,0.0104949824,0.2728120804,-1.306223451,-0.990928178,1.425538626,118.3499214,1943.012656,-171.8627284,371.5067877
4082,0.495,0.415,0.005,0.0112416897,0.2714218019,-1.307250746,-0.8246254961,1.519006711,115.9058183,1965.393517,-160.4833915,413.8209938
4083,0.485,0.415,0.005,0.0153220698,0.2785123606,-1.408206844,-0.6983387131,1.057553339,157.1953869,2014.268737,-184.3101486,465.2343001
4084,0.475,0.415,0.005,0.0180806923,0.2803068369,-1.458690662,-0.611389834,0.5544425075,170.4802118,2044.019092,-183.0014105,413.1519402
4085,0.465,0.415,0.005,0.0181320136,0.2576678077,-1.451497099,-0.5369283522,0.3420403305,145.8643778,2084.883094,-155.1881285,350.2857567
4086,0.455,0.415,0.005,0.0163519902,0.2237864945,-1.410099257,-0.446137727,0.3308549689,100.5676339,2119.009514,-114.9159623,298.635911
4087,0.445,0.415,0.005,0.0132054951,0.1880626164,-1.367180835,-0.3231590935,0.4648240267,45.25186261,2146.519397,-70.93181578,254.1899705
4088,0.435,0.415,0.005,0.0111585316,0.1561279067,-1.348151188,-0.1724754608,0.5629773537,-0.8578788137,2178.080835,-38.68403635,224.9829834
4089,0.425,0.415,0.005,0.0104796712,0.1332149516,-1.348472227,-0.0115878083,0.4964781243,-35.43372092,2206.643605,-15.65572086,199.4715275
4090,0.525,0.415,0.005,0.0228976559,0.3213825797,-1.53283553,-1.305277315,0.0724654162,423.5108802,1840.963117,-434.7794168,429.0705214
